mean,sum,32,64,128,256,512,1024,2048,4096,8192,16384,
6402.9,26920,100,100,99.4,92.3,59.7,13,0.2,0,0,0,
10530.7,29616,100,0,100,99.2,90.3,40.7,1.7,0,0,0,
11948.9,32896,100,0,100,99.7,94.3,52.2,4.3,0,0,0,
13130.2,32240,100,0,100,99.8,96.1,64,5.4,0,0,0,
14026,40024,100,0,100,99.8,96.4,69,8.3,0,0,0,
15709.3,40068,100,0,100,99.8,96.9,73.8,14.2,0,0,0,
16721.2,54564,100,0,0,100,98,77.7,17.2,0.4,0,0,
17772.5,51960,100,0,100,99.9,97.6,78.4,21.9,0.1,0,0,
19278.6,59208,100,0,100,99.8,98.1,83.7,27.5,0.3,0,0,
20640.8,59644,100,0,0,100,98.5,86.9,31.3,1.5,0,0,
21547.3,59604,100,0,0,100,98.2,87.5,36.4,1.2,0,0,
21919.6,60784,100,0,100,99.8,98.2,88.5,37,1.4,0,0,
22350,66956,100,0,100,99.9,98.8,87.9,39.1,1.9,0,0,
23420.3,65128,100,0,100,99.9,98.2,88.8,44.5,2,0,0,
24353.4,71836,100,0,100,99.9,98.2,90.1,46.7,3.5,0,0,
24397.4,71600,100,0,0,100,98.6,89.3,48.1,3.5,0,0,
25690.6,80216,100,0,100,99.7,98.7,92.6,52.6,3.8,0,0,
26184.1,80196,100,0,0,100,99.2,90.4,54,4.6,0,0,
26913.8,73408,100,0,0,100,99.1,90.8,55.1,5.9,0,0,
27596.2,72396,100,0,0,100,99.1,92.9,56.4,6.8,0,0,
28133.5,75992,100,0,100,99.9,98.9,92.9,58.8,8,0,0,
28118.8,83524,100,0,100,99.9,98.5,91.9,58.4,7.4,0,0,
29001.1,88556,100,0,0,100,99.1,92.2,59,9.3,0,0,
29443.5,80088,100,0,0,100,99.1,93.9,62.2,9.5,0,0,
30281.1,80940,100,0,100,99.9,99.6,93.7,62.2,10.1,0,0,
30960.3,121156,100,0,0,100,98.8,93.7,63.2,12.6,0.1,0,
30552.5,88148,100,0,0,100,99.2,93.9,62.7,11.1,0,0,
32524.7,82972,100,0,100,99.9,99.2,94.7,67.6,13.1,0,0,
32885,86896,100,0,0,100,99.5,95.2,68.4,14.7,0,0,
33624.2,102772,100,0,0,100,99.4,96.6,69.6,14.1,0.1,0,
34278.2,102244,100,0,0,100,99.2,94.7,69,19.2,0.1,0,
35084.1,83124,100,0,0,100,99.4,95.8,71.4,18.6,0,0,
35217.2,84500,100,0,0,100,99.2,94.5,71.2,19.6,0,0,
35498.3,83252,100,0,100,99.8,99.3,93.8,68.4,21.3,0,0,
35429.9,114080,100,0,0,100,99.3,94.4,73.2,18.8,0.1,0,
36864.4,129240,100,100,0,99.9,99.2,95.5,74,21.3,0.1,0,
37360.5,111932,100,0,100,99.9,98.6,95.3,75.4,22.2,0.1,0,
37955.2,83908,100,100,0,99.9,99.1,95.3,74.5,24.5,0,0,
37456.6,105968,100,0,0,100,99.4,94.4,75.2,21.2,0.1,0,
38502.1,124160,100,0,100,99.9,99.4,95.2,74.1,25,0.4,0,
39452.1,116300,100,0,0,100,99.4,95.2,77.1,25.8,0.5,0,
38841.8,114468,100,0,0,100,99.5,94.8,77.6,25.9,0.3,0,
39810.6,133648,100,100,0,99.9,99.5,95.8,77.8,26,0.6,0,
40507.1,124196,100,0,100,99.9,99.1,95.6,77.5,28.9,0.4,0,
40559.8,115612,100,0,100,99.9,99.3,96.3,79,27.9,0.6,0,
41005.1,126208,100,100,0,99.9,99.2,94.6,79.8,28.7,0.4,0,
41029.4,132936,100,0,100,99.8,99,95.1,77.7,28.2,0.8,0,
41438.5,152632,100,0,100,99.9,99.2,95.5,78,29.7,0.9,0,
42965.8,125748,100,0,100,99.9,99.4,96.6,80.4,31.1,0.7,0,
42550.8,131576,100,0,100,99.8,99.4,96.3,81.7,30.3,0.7,0,
42812.1,123664,100,0,100,99.9,99.4,95.9,79,32.6,0.6,0,
42556.7,153304,100,100,0,99.9,98.7,96,78.4,31.7,1.3,0,
44356.5,118960,100,0,0,100,99.6,95.9,81.9,36.2,0.5,0,
43123.6,128048,100,100,99.9,99.7,99.2,96.5,80.4,32.7,0.9,0,
44275.9,137800,100,100,0,99.9,99.5,95.4,80.3,34.7,0.9,0,
44250.4,133728,100,100,99.9,99.7,99.1,95.7,81.5,33.9,1.5,0,
45000.8,157232,100,0,100,99.8,99.2,96.2,81,38,1.2,0,
44264.6,131324,100,100,99.9,99.7,98.8,95.3,81.2,35.3,1.3,0,
46007.6,132704,100,100,99.9,99.8,99.5,96.1,82.6,38.6,1.4,0,
45754.8,132604,100,100,0,99.9,99.2,96.3,82.6,37.3,1.3,0,
47204.3,136868,100,0,0,100,99.7,96.2,81.8,40.8,1.8,0,
46607.9,130192,100,0,0,100,98.9,96.5,82.4,41.5,1.4,0,
47370.9,132324,100,0,0,100,99.4,97.2,83.5,42.7,1.2,0,
