mean,sum,32,64,128,256,512,1024,2048,4096,8192,16384,
6238.27,19576,100,100,98.7,86.7,57.3,12.8,0,0,0,0,
9766.65,28264,100,100,99.8,95.9,81.5,38.3,1.4,0,0,0,
11916.9,36416,100,100,99.9,98.9,90,52,3.5,0,0,0,
14043,36120,100,0,100,98.6,92.7,64.1,9.1,0,0,0,
14321.8,49208,100,100,99.9,98.2,88.7,63.3,11.8,0.2,0,0,
15705.6,51932,100,0,100,98.4,92.4,66.6,17.2,0.2,0,0,
16668.2,59672,100,0,100,99.3,93.6,70,21.2,0.4,0,0,
17890.5,60872,100,99.9,99.7,98.7,94.8,75.3,24.9,0.6,0,0,
17553.8,57156,100,100,99.9,98,93.4,71.4,25.1,0.6,0,0,
18641.7,71724,100,100,99.9,98.5,93.3,73.1,30.1,1.1,0,0,
20570,71608,100,0,100,99.5,96.7,79.7,35.5,1.9,0,0,
20177.4,75168,100,0,100,99.5,94.9,76.1,34.8,2.2,0,0,
21666.7,69592,100,100,99.8,99.5,97,81,38.1,2.6,0,0,
22031.2,62948,100,0,100,99.6,96,78.8,40.4,3.1,0,0,
22994.5,70168,100,0,100,99.6,96.9,81.2,43.6,4.8,0,0,
23563.2,77316,100,0,100,99.5,97.3,82.4,42.2,5.8,0,0,
24367.5,81228,100,0,100,99.5,96.8,83.9,47.2,5,0,0,
20922.1,77088,100,100,99.6,97.9,93.3,72.8,39.3,3.4,0,0,
23688.2,78248,100,0,99.9,99.2,96.8,82.7,44.4,4.2,0,0,
25621.6,81168,100,0,100,99.7,97.9,85.9,50.2,6.4,0,0,
24980.7,112860,100,0,100,99.4,96.5,81.8,47,6.7,0.1,0,
25551.3,107868,100,100,99.9,99.4,97.1,84.8,48.6,7.1,0.1,0,
27066.4,80724,100,100,99.8,99.6,97.7,87.3,52.5,9.6,0,0,
27770.1,108856,100,100,99.9,99.7,96.8,87.1,51.7,11.4,0.1,0,
28435.3,85520,100,0,100,99.6,97.3,87.3,55.3,11.1,0,0,
29459.8,100560,100,100,99.9,99.5,97.1,86.5,56.9,13.7,0.1,0,
28674.1,114612,100,100,99.9,99.3,96.8,86.4,54.9,11.9,0.2,0,
28356.3,101572,100,0,100,99.4,96.6,85,53.4,12.9,0.1,0,
30142.4,121720,100,99.9,99.6,99.3,97.6,88,58.5,14.8,0.4,0,
31223,118280,100,0,100,99.5,97.5,89,59.2,17.6,0.3,0,
30582.7,127896,100,100,99.9,99.6,96.9,86.2,59.1,15,0.4,0,
31108,115548,100,100,99.9,99.7,97.1,87.9,59.9,16.5,0.3,0,
31965.2,156336,100,0,100,99.6,97.9,87.5,59.8,17.8,0.4,0,
32689.6,128984,100,100,99.9,99.6,98,88.7,60.9,18.2,0.5,0,
30451.8,116372,100,99.9,99.7,98.8,96.5,86.5,57.8,16.2,0.3,0,
35060.8,116880,100,100,99.9,99.8,98.9,92.8,64.2,21.8,0.5,0,
