mean,sum,32,64,128,256,512,1024,2048,4096,8192,16384,
5358.55,17832,100,99.9,97.1,82.3,50,6.3,0,0,0,0,
8247.87,26888,100,100,99.5,95.2,77.1,24.1,0.3,0,0,0,
10236.6,28744,100,100,99.5,97.2,82.9,43.2,1.3,0,0,0,
12204.3,34256,100,100,99.8,98.9,88.7,57.5,3.9,0,0,0,
13797.7,42016,100,100,99.6,98.6,91.6,63.8,7.3,0,0,0,
14538,41468,100,100,99.9,99.6,91.3,65.6,11.9,0,0,0,
15877.9,47580,100,99.9,99.8,98.4,93.1,71.7,16.3,0.1,0,0,
16045.9,48288,100,100,99.7,98.9,94.3,70.3,18.3,0.1,0,0,
17626.4,55260,100,0,100,98.8,94.1,72.9,26.7,0.4,0,0,
18374.6,62000,100,100,99.9,99.3,93.9,75.9,29.9,0.3,0,0,
18045.5,65596,100,100,99.9,99.2,93.7,73.3,27.9,0.7,0,0,
18917.9,73456,100,0,99.9,99.7,96,76.8,31,1.1,0,0,
19717.7,68616,100,100,99.9,99.1,95.3,79.2,33.6,1.7,0,0,
20087.3,72044,100,100,99.8,98.6,94.6,79.7,34.9,1.5,0,0,
20817.7,71816,100,0,99.8,99.4,95.8,80.7,38,1.8,0,0,
21692.8,75564,100,100,99.6,99.4,96.6,82.9,39.2,2.5,0,0,
22114.3,70392,100,0,99.9,99.6,97.4,82.3,41.7,3,0,0,
22959.1,68448,100,100,99.6,99.2,96,82.8,45.7,3.6,0,0,
23128.2,74804,100,0,99.9,99.5,97,83.5,46.7,3.5,0,0,
23625,80144,100,100,99.8,99.4,96.8,84.3,46.3,4.2,0,0,
24816.1,74832,100,100,99.9,99.3,97.5,86.3,49.9,5.6,0,0,
24870.5,86268,100,100,99.9,99.5,96.9,86.9,48.3,6.3,0,0,
24651.8,76868,100,100,99.8,99.6,97.4,83.8,49.4,5.5,0,0,
25202,80476,100,99.9,99.4,99.2,97,86.6,49.4,6.8,0,0,
26385.6,82812,100,100,99.8,99.5,98.3,86.6,53.2,7.7,0,0,
25767.4,89820,100,99.9,99.5,99.3,96.8,85,49.9,7.5,0,0,
27317.5,84456,100,100,99.9,99.7,97.5,87.7,55.3,9.2,0,0,
26657,79496,100,0,100,99.6,97.9,87.9,51.1,8.4,0,0,
28025.3,105308,100,100,99.7,99.4,97.5,87.5,56.1,10.5,0.1,0,
27883.4,80224,100,99.9,99.2,98.8,96.7,88,55.3,10.8,0,0,
27715.2,104324,100,100,99.8,99.2,97.8,87.9,54.4,11.1,0.1,0,
28710.6,84076,100,0,0,100,98.5,89.3,56.6,11.3,0,0,
30197,111948,100,0,100,99.7,98,91.1,62.1,12.5,0.3,0,
28793.2,84548,100,99.9,99.7,99.5,97.4,88.2,59.2,10.8,0,0,
28284,108596,100,99.9,99.7,99.6,97.4,88.5,56.6,9.2,0.2,0,
31164.3,117676,100,99.8,99.6,99.4,97.8,90,63.6,14.8,0.2,0,
29520.2,91192,100,100,99.9,99.7,98.1,91.4,62.7,9.8,0,0,
30791.6,102644,100,100,99.8,99.4,98.4,91.7,65.6,12.6,0.2,0,
30124.3,82604,100,0,99.9,99.6,98.2,89.6,60.9,11.8,0,0,
30208.6,124028,100,100,99.9,99.6,97.3,90.1,60.4,14,0.5,0,
31117.6,104520,100,100,99.7,99.6,97.7,89.4,62.6,14.6,0.2,0,
30802.2,124772,100,100,99.7,99.4,97.7,89.6,61.9,13.1,0.4,0,
30928.1,123404,100,99.9,99.5,99.3,97.5,90.8,62.2,13.5,0.4,0,
31617.2,121836,100,100,99.9,99.5,98.3,90.5,63.7,15.6,0.2,0,
31529,112632,100,99.9,99.7,99.2,98.4,91.2,62.1,14.6,0.4,0,
31719.3,125120,100,100,99.8,99.5,97.7,89.4,63.2,15.8,0.2,0,
32568.6,129464,100,0,99.9,99.4,98.4,91.3,65.1,16.5,0.4,0,
32404.6,134468,100,99.9,99.5,99.2,97.3,89.8,63.9,17.5,0.4,0,
32832.2,120272,100,100,99.9,99.8,98.7,92,65.9,17,0.3,0,
29852.7,127156,100,100,99.5,98.4,96.6,87.4,60.9,14,0.1,0,
32328.5,125292,100,99.8,99.7,99.3,97.1,88.8,63.2,17.9,0.4,0,
35369.1,113576,100,0,100,99.5,98.3,92.3,71.2,21.5,0.6,0,
33610.4,132512,100,99.9,99.7,99.5,97.1,91.5,67.9,18.8,0.5,0,
34125.4,133576,100,100,99.7,99.6,98.5,93.7,67.6,17.7,0.3,0,
34972.2,118256,100,99.8,99.5,99.4,97.9,91.6,68.8,22,0.4,0,
34597.2,121040,100,99.9,99.6,99.5,97.8,90.6,66.3,22.2,0.7,0,
35642,116684,100,100,99.8,99.5,98.2,91.3,70.2,23.3,0.4,0,
36102.9,133452,100,100,99.8,99.6,97.4,90.4,65.5,25,1.1,0,
36039.2,125556,100,100,99.7,99.5,98.4,91.2,69.3,23.4,0.6,0,
35914.5,125776,100,99.9,99.8,99.3,98.1,91.6,69.8,22.3,1.1,0,
36939.1,152120,100,100,99.8,99.6,98.9,93.9,72.9,24.4,0.7,0,
37111.9,128672,100,100,99.7,99.5,98.3,93.3,71.5,24,1.3,0,
37696,123208,100,100,99.9,99.7,98.3,92.8,70.6,26.3,1.1,0,
37203.6,133676,100,0,99.9,99.8,98.2,92.2,70.2,25,1,0,
36746.8,158240,100,100,99.7,99.2,97.2,90.5,67.9,23.6,1.7,0,
38028.6,124668,100,0,100,99.9,98.5,93.2,71.4,27.2,0.9,0,
37912.1,128300,100,100,99.8,99.6,98.2,93.3,71,26.2,1.2,0,
39098.9,134592,100,99.9,99.7,99.3,97.4,93,73.2,29,1.8,0,
38764.9,138976,100,100,99.7,99.2,98.2,93.7,73.1,28.9,1,0,
40344.8,133028,100,100,99.8,99.5,97.8,93.3,72.7,31.5,1.4,0,
40761.9,138164,100,100,99.7,99.4,98.4,93.9,74.7,30.9,2,0,
41353.5,157164,100,99.8,99.6,99.4,98.4,94.9,76.9,32.3,2.1,0,
42073.8,151176,100,100,99.8,99.5,98.4,95.2,75.7,33.5,1.9,0,
40648.1,150540,100,100,99.8,99.6,98.6,93.7,73.6,31.6,3,0,
42176.6,158684,100,99.9,0,99.8,99.5,94.9,75.7,32.2,2,0,
41165.6,152624,100,100,99.6,99.1,98.1,93.2,74.5,32.8,1.7,0,
42750.7,157176,100,99.9,99.8,99.3,98.2,94.4,77,35.3,2,0,
41318.2,157984,100,99.8,99.6,99.3,98.2,94,75.7,32,2.5,0,
41873.9,154600,100,100,99.8,99.6,97.8,92.9,74.4,31.9,2.9,0,
42221.1,156508,100,99.8,99.6,99.5,98.7,93.2,76.7,31.5,2.2,0,
41228.3,157892,100,100,99.6,99,97,92.9,74.8,31.5,2.6,0,
42685.9,153376,100,99.8,99.7,99.1,98,92.5,75.7,34.3,2.5,0,
41839.2,162888,100,0,100,99.7,98.9,94.1,76.1,33,2.4,0,
